鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區鼓山三路31~60號,22.47,住,,,1080606,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000524,183.32999999999998,3,2,2,有,有,10280000,56074,坡道平面,0.0,0,附家電傢俱。,RPPNMLPKPHOFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路541~570號,12.81,住,,,1080526,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011121,142.84,3,2,2,有,有,9500000,66508,坡道平面,10.24,0,親友、員工或其他特殊關係間之交易。;,RPPNMLQKPHOFFAE38CA
小港區,房地(土地+建物),高雄市小港區宏平路331~360號,13.1,住,,,1080606,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840727,118.48,3,1,2,有,有,3000000,25321,,0.0,0,親友、員工或其他特殊關係間之交易。;母子之間,RPQNMLTJPHOFFCE88CA
前鎮區,房地(土地+建物),高雄市前鎮區管仲南路391~420號,11.66,商,,,1080514,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941228,113.78,3,2,2,有,有,7000000,61522,,0.0,0,,RPOOMLSJPHOFFCE68CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區二聖一路181~210號,16.18,商,,,1080522,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971024,188.74,3,2,2,有,有,11100000,58811,坡道平面,0.0,0,,RPPOMLTKPHOFFCE98CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區鄭和南路331~360號,12.68,商,,,1080527,土地1建物1車位1,二十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960509,143.73,3,2,2,有,有,9500000,66096,坡道機械,8.68,0,,RPVOMLPLPHOFFCE66CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區民權二路361~390號,12.05,住,,,1080612,土地2建物1車位1,十一層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841212,273.14,4,2,2,有,有,13000000,47595,坡道平面,0.0,0,,RPRNMLKMPHOFFCE38CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區民權二路211~240號,9.17,住,,,1080609,土地2建物1車位1,二十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860527,192.60000000000002,3,2,2,有,有,8700000,42717,坡道平面,24.05,1500000,含增建或未登記建物。,RPPNMLLKPHOFFCE08CA
三民區,房地(土地+建物),高雄市三民區莊敬路241~270號,12.03,商,,,1080528,土地1建物1車位0,十二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851210,131.65,3,2,2,有,有,4850000,36840,,0.0,0,,RPVNMLKKPHOFFDE68CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎山街571~600號,14.55,商,,,1080425,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990115,153.89,3,2,2,有,有,7550000,49061,坡道平面,0.0,0,,RPPPMLLKPHOFFDE38CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎山街571~600號,13.8,商,,,1080616,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990115,143.48000000000002,3,2,2,有,有,7250000,50530,坡道平面,0.0,0,,RPVOMLQKPHOFFDE76CA
