鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
仁武區,房地(土地+建物),高雄市仁武區仁雄路475巷1~30號,153.28,住,,,1080621,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0681020,166.74,4,3,4,有,無,13460000,80724,,0.0,0,,RPSNMLTJPHOFFIE07CA
大社區,房地(土地+建物),高雄市大社區翠屏路84巷31~60號,21.46,住,,,1080607,土地1建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830128,134.26999999999998,4,2,2,有,有,3820000,28450,,0.0,0,附家電傢俱。賣方已相當減價出售予買方，買方同意賣方無需負擔瑕疵擔保責任。,RPUNMLSKPHOFFIE27CA
仁武區,房地(土地+建物),高雄市仁武區仁慈路35巷61~90號,86.81,商,,,1080428,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1071009,195.72,5,2,6,有,無,14400000,73574,,0.0,0,,RPTNMLPKPHOFFIE86CA
仁武區,房地(土地+建物),高雄市仁武區仁慈路35巷61~90號,87.2,商,,,1080601,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1071009,197.56,5,2,6,有,無,14400000,72889,,0.0,0,,RPUNMLPKPHOFFIE96CA
仁武區,房地(土地+建物),高雄市仁武區仁慈路35巷31~60號,93.72,商,,,1080428,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1071009,208.79,5,2,6,有,無,14400000,68969,,0.0,0,,RPVNMLPKPHOFFIE07CA
仁武區,房地(土地+建物),高雄市仁武區華園街47巷1~30號,70.5,住,,,1080516,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0780116,112.14,4,2,2,有,無,3800000,33886,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLTKPHOFFIE37CA
鳥松區,房地(土地+建物),高雄市鳥松區華美路151~180號,78.77,住,,,1080530,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830207,221.14,5,2,3,有,無,7800000,35272,,0.0,0,,RPXOMLTKPHOFFIE77CA
仁武區,房地(土地+建物),高雄市仁武區大義巷61~90號,75.32,住,,,1080605,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1080426,210.04,4,2,5,有,無,13200000,62845,,0.0,0,,RPPOMLMLPHOFFIE98CA
仁武區,房地(土地+建物),高雄市仁武區大義巷61~90號,75.72,住,,,1080420,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1080426,190.05,4,2,5,有,無,13880000,73033,,0.0,0,,RPROMLMLPHOFFIE56CA
仁武區,房地(土地+建物),高雄市仁武區名光街31~60號,13.42,住,,,1080622,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040724,80.57,2,2,1,有,有,3800000,47164,,0.0,0,,RPUOMLNLPHOFFIE96CA
