鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段331巷61~90號,26.73,住,,,1080615,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031024,174.35,2,2,1,有,有,9000000,51620,坡道平面,53.08,0,,RPOQMLRKPHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷65弄31~60號,14.46,住,,,1080505,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,117.56,2,2,1,有,有,6500000,55291,坡道機械,18.19,0,,RPVPMLTKPHOFFEF37CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段211~240號,22.42,住,,,1080611,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051020,171.86,3,2,2,有,有,10000000,58187,坡道平面,29.19,0,,RPXPMLTKPHOFFEF57CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段121~150號,12.03,住,,,1040428,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,86.8,1,1,1,有,有,6130000,78181,坡道平面,25.02,1300000,,RPROMLLLPHOFFEF78CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段61~90號,16.72,住,,,1040417,土地1建物1車位1,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,114.43,2,1,2,有,有,8680000,81423,坡道平面,25.02,1400000,,RPSQMLLLPHOFFEF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段61~90號,24.87,住,,,1040120,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,166.94,3,2,2,有,有,12580000,79481,坡道平面,25.02,1300000,,RPTQMLLLPHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段91~120號,16.92,住,,,1030810,土地1建物1車位1,五層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46000000000001,2,1,2,有,有,9000000,85139,坡道平面,25.02,1300000,,RPWRMLLLPHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段126巷1~30號,23.81,住,,,1080624,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080212,158.81,3,2,2,有,有,8000000,52282,坡道平面,30.66,1300000,,RPORMLNLPHOFFEF98CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,29.6,住,,,1031112,土地1建物1車位1,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,180.45999999999998,3,2,2,有,有,12750000,76816,坡道平面,30.1,1200000,,RPXRMLOLPHOFFEF37CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,17.96,住,,,1030113,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,122.0,2,1,1,有,有,8300000,77258,坡道平面,30.1,1200000,,RPOSMLOLPHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,27.99,住,,,1041022,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,172.87,3,2,2,有,有,13200000,84051,坡道平面,30.1,1200000,,RPPSMLOLPHOFFEF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,24.58,住,,,1041223,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,153.91,3,1,2,有,有,11200000,80769,坡道平面,30.1,1200000,,RPRSMLOLPHOFFEF86CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,24.58,住,,,1041223,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,153.91,3,1,2,有,有,11350000,81980,坡道平面,30.1,1200000,,RPTSMLOLPHOFFEF07CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,20.43,住,,,1050214,土地1建物1車位1,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,134.51,3,1,2,有,有,9080000,74514,坡道平面,30.1,1300000,,RPSOMLPLPHOFFEF66CA
