鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中山區,房地(土地+建物),臺北市中山區南京東路一段13巷1~30號,14.38,商,,,1080601,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830707,81.67,2,1,2,有,無,18300000,224072,,0.0,0,含增建或未登記建物。;,RPRRMLPJPHOFFCA58CA
中山區,房地(土地+建物),臺北市中山區新生北路三段11巷1~30號,22.0,住,,,1080516,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590129,66.74,2,2,1,有,無,11300000,169314,,0.0,0,含增建或未登記建物。;,RPURMLPJPHOFFCA88CA
內湖區,房地(土地+建物),臺北市內湖區康寧路三段245巷31~60號,25.47,住,,,1080525,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750401,94.28999999999999,2,2,2,有,無,12800000,135751,,0.0,0,,RPTNMLTJPHOFFCA78CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段331~360號,78.58,住,,,1080618,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1050107,155.89,3,2,2,有,有,20450000,131182,坡道平面,33.15,0,本建物為五樓公寓有電梯,RPXNMLTJPHOFFCA56CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段331~360號,81.52,住,,,1080618,土地1建物1車位1,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1050107,160.41,3,2,2,有,有,22000000,137149,坡道平面,33.15,0,1.權利人為二人2.本案建物為五樓公寓有電梯,RPOOMLTJPHOFFCA38CA
中山區,房地(土地+建物),臺北市中山區新生北路三段61~90號,5.25,商,,,1080617,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0690801,44.61,2,1,1,有,有,7650000,171486,,0.0,0,,RPQRMLLKPHOFFCA18CA
內湖區,土地,舊宗段91~120地號,751.37,其他,,,1080503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,270000000,359344,,0.0,0,,RPUNMLKKPHOFFCA08CA
中山區,房地(土地+建物),臺北市中山區新生北路二段68巷1~30號,9.43,商,,,1080526,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,68.69,2,1,1,有,有,18000000,262085,,0.0,0,,RPTPMLMKPHOFFCA38CA
中山區,房地(土地+建物),臺北市中山區吉林路168巷1~30號,21.75,住,,,1080620,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590825,54.19,1,1,1,有,無,12800000,236206,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLNKPHOFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區安泰街91~120號,17.13,住,,,1080528,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970619,103.25,2,1,1,有,有,10200000,98789,坡道機械,19.55,0,,RPPNMLOKPHOFFCA97CA
