鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中壢區,房地(土地+建物)+車位,桃園市中壢區文發路151~180號,49.94,住,,,1080516,土地1建物1車位2,六層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041029,332.53,3,2,2,有,有,30000000,104687,坡道平面,66.02,2100000,,RPTNMLMJQHOFFBH78CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區百年二街31~60號,35.81,,鄉村區,乙種建築用地,1080607,土地2建物3車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860626,153.07,3,2,2,有,有,4550000,29725,坡道平面,36.44,0,,RPWNMLOJPHOFFCH66CA
龍潭區,房地(土地+建物),桃園市龍潭區民豐六街1~30號,85.62,,鄉村區,乙種建築用地,1080615,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0681226,80.47,4,2,2,有,無,2180000,27091,,0.0,0,親友、員工或其他特殊關係間之交易。;母子間交易,RPSNMLPJPHOFFCH98CA
龍潭區,房地(土地+建物),桃園市龍潭區民治六街31~60號,94.0,住,,,1080615,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931030,200.77,4,2,3,有,無,7500000,37356,,0.0,0,含增建或未登記建物。;,RPUNMLPJPHOFFCH56CA
龍潭區,房地(土地+建物),桃園市龍潭區民有路1~30號,16.06,其他,,,1080520,土地1建物1車位0,六層，見其他登記事項,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950410,85.44,1,1,1,有,有,4000000,46816,,0.0,0,,RPUNMLOJPHOFFCH09CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中豐路533巷51弄1~30號,35.77,,一般農業區,甲種建築用地,1080603,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0940511,145.19,3,2,2,有,有,5800000,39948,坡道平面,24.16,0,,RPUOMLPJPHOFFCH66CA
龍潭區,房地(土地+建物),桃園市龍潭區中央街179巷1~30號,75.69,,鄉村區,乙種建築用地,1080605,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0771202,120.1,4,2,3,有,無,5000000,41632,,0.0,0,,RPUNMLMLPHOFFCH09CA
龍潭區,房地(土地+建物),桃園市龍潭區大同路58巷121~150號,84.39,住,,,1080606,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0791130,189.52,4,3,3,有,無,9800000,51710,,0.0,0,,RPWNMLKKPHOFFCH98CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中豐路331~360號,29.82,,鄉村區,乙種建築用地,1080619,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070705,141.35000000000002,2,2,2,有,無,6480000,45844,坡道平面,30.2,0,,RPRPMLPJPHOFFCH09CA
楊梅區,房地(土地+建物),桃園市楊梅區員本路438巷1~30號,56.73,,特定農業區,甲種建築用地,1080416,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841004,183.37,5,3,3,有,無,4500000,24541,,0.0,0,,RPPOMLNJPHOFFDH68CA
