鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南屯區,房地(土地+建物),臺中市南屯區大英街271~300號,7.33,住,,,1080619,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820212,43.81,1,1,1,有,有,2800000,63912,,0.0,0,,RPPNMLRJPHOFFCB28CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路211~240號,16.44,住,,,1080531,土地1建物1車位1,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031113,175.53,3,2,2,有,有,11360000,64718,坡道平面,40.26,0,,RPUOMLPJPHOFFCB68CA
西屯區,房地(土地+建物),臺中市西屯區福科路340巷1~30號,11.81,住,,,1080601,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830826,106.24000000000001,3,2,2,有,有,6000000,56476,,0.0,0,,RPWOMLPJPHOFFCB88CA
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路二段1561~1590號,8.7,住,,,1080602,土地1建物1車位1,六層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071210,85.58,2,2,1,有,有,7650000,89390,坡道機械,9.67,0,,RPPOMLPJPHOFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區青海路一段91~120號,3.71,商,,,1080622,土地1建物1車位0,十層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830629,30.869999999999997,1,0,1,有,有,1500000,48591,,0.0,0,,RPTNMLPJPHOFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區東大路一段391~420號,9.13,住,,,1080603,土地1建物2車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,104.2,3,2,2,有,有,5200000,49904,坡道平面,0.0,0,,RPUNMLPJPHOFFCB58CA
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路一段157巷31~60號,23.83,住,,,1080608,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811215,110.91,3,2,2,有,有,5380000,48512,坡道機械,0.0,0,,RPPPMLPJPHOFFCB28CA
西屯區,土地,廣安段451~480地號,2.1,農,,,1080523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28350,13500,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLPJPHOFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段571~600號,23.91,商,,,1080510,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991021,342.33,4,2,3,有,有,25000000,73029,坡道平面,0.0,0,,RPSQMLPJPHOFFCB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹五路二段151~180號,19.29,住,,,1080608,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020208,160.19,3,2,2,有,有,8380000,52313,坡道平面,24.68,0,,RPPRMLMJQHOFFBB18CA
北屯區,土地,碧柳段181~210地號,1220.39,住,,,1080412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,166120000,136120,,0.0,0,,RPWPMLLMPHOFFBB78CA
北屯區,土地,碧柳段181~210地號,1715.16,住,,,1080412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,254230000,148225,,0.0,0,,SPWPMLLMPHOFFBB88CA
北屯區,房地(土地+建物)+車位,臺中市北屯區環中東路三段1~30號,21.36,住,,,1080610,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040416,136.37,3,2,2,有,有,7600000,55731,坡道機械,19.58,0,,RPRQMLLMPHOFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段1351~1380號,21.21,住,,,1080604,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,147.36,3,2,2,有,有,7350000,49878,坡道平面,25.81,0,,RPWQMLTKPHOFFBB86CA
北區,土地,邱厝子段31~60地號,20.0,其他,,,1080612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,115000,,0.0,0,1.公共設施保留地2.地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄,RPVNMLNLPHOFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區遼陽四街61~90號,16.16,住,,,1080519,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,98.08,2,2,1,有,有,5250000,55809,升降機械,14.76,600000,,RPPNMLNLPHOFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區和順路421~450號,25.17,住,,,1080614,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041104,172.32,3,2,2,有,有,9700000,56291,坡道平面,28.51,0,,RPVPMLTKPHOFFBB66CA
北屯區,房地(土地+建物),臺中市北屯區旅順路一段181~210號,17.21,住,,,1080530,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790817,100.47,3,2,2,有,有,5200000,51757,,0.0,0,,RPUWMLPKPHOFFBB86CA
北屯區,房地(土地+建物),臺中市北屯區天津路三段1~30號,23.62,住,,,1080610,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790531,133.75,3,2,2,有,有,6460000,48299,,0.0,0,,RPVQMLQKPHOFFBB09CA
北屯區,房地(土地+建物)+車位,臺中市北屯區四平路238巷361~390號,28.37,住,,,1060523,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080318,129.07,2,2,2,有,有,7700000,59658,坡道平面,27.46,0,,RPPWMLPKPHOFFBB98CA
北區,房地(土地+建物),臺中市北區北屯路1~30號,3.09,商,,,1080617,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0711211,35.15,1,0,1,有,有,1632000,46430,,0.0,0,,RPQWMLPKPHOFFBB09CA
北區,房地(土地+建物),臺中市北區美德街331~360號,28.65,住,,,1080426,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680327,80.18,4,0,4,有,無,4200000,52382,,0.0,0,,RPRWMLPKPHOFFBB56CA
北區,房地(土地+建物),臺中市北區民權路391~420號,16.85,住,,,1080605,土地1建物1車位0,一層，騎樓,十五層,店面(店鋪),見其他登記事項,見其他登記事項,0940201,155.24,0,1,1,有,有,23700000,152667,,0.0,0,,RPSQMLLKPHOFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區五權路211~240號,20.45,住,,,1080505,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060118,139.67000000000002,2,2,2,有,有,10580000,75750,坡道平面,0.0,0,,RPUQMLLKPHOFFBB48CA
北區,房地(土地+建物)+車位,臺中市北區梅川西路四段121~150號,14.7,住,,,1080524,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831122,156.0,3,2,2,有,有,7100000,45513,坡道平面,0.0,0,急買急賣。;,RPQRMLLKPHOFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區大連西路42巷31~60號,91.0,住,,,1080514,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0600729,109.11,4,2,2,有,無,10000000,91651,,0.0,0,,RPOSMLLKPHOFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區天津路三段31~60號,4.24,商,,,1080604,土地1建物1車位0,五層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821214,48.44,1,1,1,有,有,1680000,34682,,0.0,0,,RPVOMLMKPHOFFBB48CA
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.34,住,,,1080618,土地1建物1車位0,三層,十七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0831222,42.72,1,1,1,有,有,2000000,46816,,0.0,0,,RPRNMLNKPHOFFBB08CA
